0x9c,"PERSONAL DATA [1/4]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
","PERSONAL DATA [1/4]

CODENAME:SIGINT
SEX:MALE
AGE:24
NATIONALITY:U.S.A
BIRTHDATE:11/11/1939
BIRTHPLACE:NASHVILLE,TN.
ADDRESS:LANGLEY,VA.
"
0xb52,"Le MK-22 est une version modifiée par les
opérations spéciales du M39, un pistolet utilisé
par les SEALS.
","Le MK-22 est une version modifiée par les
opérations spéciales du M39, un pistolet utilisé
par les SEALS.
"
0xbc1,"Le principal changement, c'est qu'il a un canon
plus long que le M39, ce qui lui permet de
l'équiper d'un silencieux.
","Le principal changement, c'est qu'il a un canon
plus long que le M39, ce qui lui permet de
l'équiper d'un silencieux.
"
0xc39,"Et il utilise un mécanisme de verrouillage de la
glissière.
","Et il utilise un mécanisme de verrouillage de la
glissière.
"
0xc78,"Ainsi, l'arme est plus silencieuse, mais il faut
la recharger manuellement après chaque tir.
","Ainsi, l'arme est plus silencieuse, mais il faut
la recharger manuellement après chaque tir.
"
0xcd7,"Elle est également équipée de visées
ajustables. Tu peux donc utiliser les visées
avant et arrière pour aligner tes tirs, même
équipé du silencieux.
","Elle est également équipée de visées
ajustables. Tu peux donc utiliser les visées
avant et arrière pour aligner tes tirs, même
équipé du silencieux.
"
0xd76,"On dirait qu'ils ont aussi enlevé la sécurité du
chargeur.
","On dirait qu'ils ont aussi enlevé la sécurité du
chargeur.
"
0xdb5,"Bien vu. Cette caractéristique n'était pas du
goût de types comme toi qui connaissent
bien leur arme.
","Bien vu. Cette caractéristique n'était pas du
goût de types comme toi qui connaissent
bien leur arme.
"
0xe1f,"Ils ont aussi enlevé le levier de détente, donc
le chien ne s'enlevera pas, même avec la
sécurité.
","Ils ont aussi enlevé le levier de détente, donc
le chien ne s'enlevera pas, même avec la
sécurité.
"
0xe88,"Je peux donc juste armer et viser?
","Je peux donc juste armer et viser?
"
0xeac,"C'est ça. Et en plus, tu n'auras aucun bruit
mécanique en désarmant, même avec la
sécurité activée.
","C'est ça. Et en plus, tu n'auras aucun bruit
mécanique en désarmant, même avec la
sécurité activée.
"
0xf18,"Le pistolet parfait pour une mission
d'infiltration, hein.
","Le pistolet parfait pour une mission
d'infiltration, hein.
"
